id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
10284253,Basement Unit for Long Term Rental,51076793,Gary,,York University Heights,43.76740545195587,-79.49702001131939,Private room,29,30,9,2016-03-12,0.33,1,23
11572314,"York University Village, Toronto",44619526,Sigang,,York University Heights,43.77000974138479,-79.50092743273358,Shared room,20,120,3,2017-12-31,0.32,1,99
21730375,Cozy Bedroom (2 beds) in North Toronto near TTC,23131887,Sabrina,,York University Heights,43.747722251958805,-79.48813945357416,Private room,36,2,0,,,1,0
23292372,Private  Basement Twin room walk to York U,126037968,Lisa,,York University Heights,43.76533689217117,-79.50488431187773,Private room,22,1,1,2018-02-17,0.58,7,83
23234034,Sarah's Homestay,172872587,Radie,,York University Heights,43.7473238914485,-79.49308596741388,Private room,43,5,2,2018-03-24,2,1,340
23397209,Private Basement Room Steps to York Campus,126037968,Lisa,,York University Heights,43.768889230088526,-79.50420275915845,Private room,35,1,4,2018-03-29,3.64,7,83
24000450,Newly renovated w/private ensuite washroom &shower,134195333,Lolo,,York University Heights,43.75238821600373,-79.50884966255836,Private room,50,1,1,2018-03-29,1,1,173
23223228,A2-Cozy Room (Finch West Subway & York University),170643172,Cozy Hostel,,York University Heights,43.75298856262114,-79.50342252502423,Private room,33,7,0,,,7,245
23130967,C1-Cozy Room (Finch West Subway & York University),170643172,Cozy Hostel,,York University Heights,43.75246690225015,-79.50469755278691,Private room,29,7,0,,,7,248
21974913,North York private basement,44098156,Jay,,York University Heights,43.76422153470377,-79.50355789233186,Private room,32,1,9,2018-03-11,2.09,5,0
24094617,229 room at York University Subway at door,43488381,Runying,,York University Heights,43.76910403698996,-79.49802833532186,Private room,40,2,0,,,33,365
19655045,"Cozy Bedroom w/ balcony @ York University, Toronto",30753730,Jeishan,,York University Heights,43.767041831201645,-79.50237019896912,Private room,45,2,2,2018-01-13,0.51,10,315
17574083,"Basement Room + Ensuite, walk in closet @ York Uni",30753730,Jeishan,,York University Heights,43.76691369812414,-79.50257565735198,Private room,40,2,12,2017-09-25,0.95,10,338
21667110,319 room at York University Subway at the door,43488381,Runying,,York University Heights,43.76745935531008,-79.5036372909549,Private room,29,5,6,2018-03-31,1.76,33,334
