id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
25556410,Masterbedroom closed Yonge/Finch,21857005,Alice,,Willowdale East,43.7830832777669,-79.39726373329798,Private room,69,3,1,2018-06-30,0.23,2,309
25566387,Explore Toronto from cozy condo in Liberty Village,7228600,Jigme,,Niagara,43.639473256344196,-79.41511267422919,Private room,69,2,13,2018-11-01,3.45,2,40
25566813,Chic & Cozy Apartment in the Heart of Queen West,192850606,Alison,,Kensington-Chinatown,43.64844875866092,-79.40239794433134,Entire home/apt,121,2,23,2018-10-27,4.73,1,39
25567539,Toronto Home with a View,182838537,Oliver,,Moss Park,43.65169589250804,-79.36843406502118,Entire home/apt,149,2,13,2018-08-24,2.83,1,75
25569008,"1BR Entire Basement, Sep. Entrance,very Clean,wifi",162308355,Sam,,Newtonbrook East,43.79530261794253,-79.41534468982492,Entire home/apt,100,4,1,2018-08-18,0.37,4,157
25572803,Cheap basement in a vintage house near subway,33287113,Zoe,,Yorkdale-Glen Park,43.716499425061784,-79.45057377529756,Private room,25,14,8,2018-08-31,1.60,1,85
25573113,"Standard, Curated Courtyard Room at the Annex Hotel",192849470,The Annex Hotel,,University,43.66571022394542,-79.40813086810194,Private room,149,1,2,2018-10-28,2,23,231
25573743,Luxurious condo(w parking)in the heart of downtown,3388675,Victor,,Niagara,43.63766249377025,-79.40240116173007,Entire home/apt,204,1,5,2018-09-14,1.01,1,0
25574659,Modern Apartment in Historic Home near Trinity Bellwoods,2745245,Ben,,Trinity-Bellwoods,43.648120475472105,-79.41669120782733,Entire home/apt,149,2,12,2018-11-03,2.42,1,254
25578225,Luxury one Bedroom Suite in Trendy Dundas West,6416188,Katryna,,Trinity-Bellwoods,43.65180296203774,-79.4177748448719,Entire home/apt,225,3,0,,,2,48
25579259,Sunny Private Room at York Village,44098156,Jay,,York University Heights,43.76681077568041,-79.50210246782224,Private room,30,2,5,2018-08-25,1.12,3,60
25579263,cozy and warm 1 bdrm condo in luxurious Yorkville,87265880,Lucia,,Annex,43.66973108005651,-79.39351027244636,Entire home/apt,160,2,24,2018-10-29,6.43,1,63
