id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
3971967,Toronto Harbourfront Condo on a high floor,8260044,Sean,,Waterfront Communities-The Island,43.64099,-79.39286,Entire home/apt,250,3,32,2019-02-18,0.58,1,4
3971971,Glorious Cabbagetown 2 storey suite,3183761,Stan&Elena,,Cabbagetown-South St.James Town,43.66405,-79.37102,Entire home/apt,196,5,11,2018-08-08,0.53,1,0
3978186,Closest Luxury Penthouse to TIFF,240678,Michael,,Waterfront Communities-The Island,43.64462,-79.39329,Entire home/apt,600,5,0,,,1,0
3978411,☆☆☆☆☆ Wonderful Simple Loving Home -Close to TTC,11206244,Superhost,,Oakridge,43.69954,-79.27577,Private room,79,2,13,2017-08-06,0.24,25,364
3979252,Private Detached Coach House ,20623894,Laura,,Rosedale-Moore Park,43.67672,-79.38539,Entire home/apt,275,2,17,2018-09-26,0.31,1,365
3979627,Luxury 2br LOFT at Yonge & HWY 401,20624389,Bern,,Lansing-Westgate,43.75941,-79.41046,Entire home/apt,141,3,12,2016-07-16,0.25,4,9
3984736,"Uptown View, Minutes to Subway",1118847,Tm,,Willowdale West,43.77359,-79.41806,Private room,59,1,0,,,2,0
3984769,Country in the City! Near nature and also downtown,1646497,David,,South Riverdale,43.66166,-79.34826,Entire home/apt,253,3,27,2019-01-01,0.85,2,266
3987246,Stylish Downtown Double Room,20667851,Elaine & Greg,,Regent Park,43.65661,-79.36401,Private room,66,1,417,2019-03-05,7.59,9,311
3987871,"Cozy, Afforable, Great Location!",6657591,Katerina,,Dovercourt-Wallace Emerson-Junction,43.66929,-79.42824,Entire home/apt,92,14,38,2019-02-25,0.69,3,212
3992907,"Spacious, private suite a block from the subway",5724438,Janis,,Runnymede-Bloor West Village,43.65184,-79.4777,Private room,84,2,117,2019-01-03,2.15,1,318
3993068,"Large, Central, Quiet Upscale Family Home",1321390,Beth,,Casa Loma,43.67992,-79.41697,Entire home/apt,130,14,0,,,1,212
3994370,Stylish Downtown Restful Bed,20667851,Elaine & Greg,,Regent Park,43.65688,-79.36218,Shared room,39,1,282,2019-03-05,5.28,9,321
4000818,2 Rooms in Luxury Condo by Subway,20744105,Christie,,Islington-City Centre West,43.6396,-79.53679,Private room,70,1,21,2018-09-24,0.38,3,90
4002741,Stylish Downtown Relaxing Bed,20667851,Elaine & Greg,,Regent Park,43.65815,-79.3635,Shared room,40,1,264,2019-02-26,5.21,9,323
4003510,Zoom 16yonge Elegant 1+Den Furnished Condo,11206244,Superhost,,Waterfront Communities-The Island,43.64272,-79.37639,Entire home/apt,2800,2,0,,,25,365
4003578,Private bedroom suite ,14963497,Jody,,Greenwood-Coxwell,43.68289,-79.32454,Private room,300,1,0,,,2,363
4003821,Charming room near CasaLoma,7068766,Anka,,Casa Loma,43.68046,-79.41133,Private room,55,1,106,2018-11-04,2.16,2,344
4005092,Little Italy Private Apartment,6137198,Minnie,,Palmerston-Little Italy,43.65721,-79.42086,Entire home/apt,100,2,91,2018-08-28,1.67,1,38
4006634,Perfect Downtown Condo for Holidays,6407213,Dan,,Waterfront Communities-The Island,43.6504,-79.3677,Entire home/apt,100,1,0,,,1,0
4012123,"Bright, Quiet, Private Bedroom! Lake 5MIN Walk!",11077388,Kara & Monique,,New Toronto,43.60019,-79.51965,Private room,50,1,286,2019-01-31,5.24,1,256
4016582,☆☆☆☆☆ Wanted Friendly People =),11206244,Superhost,,Oakridge,43.70048,-79.27841,Private room,55,2,16,2018-10-01,0.31,25,341
4017360,Huge 2-BR flat in hip Roncesvalles!,1394631,Joe,,High Park-Swansea,43.64874,-79.45562,Entire home/apt,138,3,129,2019-03-04,2.39,1,269
4020596,Private cabin in backyard garden,20844756,Steve,,Palmerston-Little Italy,43.65939,-79.4269,Private room,55,3,117,2019-01-01,2.14,1,199
4020844,Location is everything!,20845776,Tonia,,Tam O'Shanter-Sullivan,43.78345,-79.2893,Entire home/apt,108,1,0,,,1,0
4022320,WEST IS THE BEST! WICKED DIGS IN TO,14327586,Heidi And Paul,,South Parkdale,43.63835,-79.44441,Entire home/apt,115,3,38,2015-12-29,0.71,2,5
4022585,Ultramodern Beach Beauty Steps to Lake,20854316,Wafa,,East End-Danforth,43.68006,-79.30291,Entire home/apt,134,4,0,,,1,0
4024730,LOFT King WEST,269693,Mark,,Niagara,43.64513,-79.4121,Private room,111,1,0,,,1,0
4029348,Cool downtown Toronto Modern Loft,20889872,Matt,,Waterfront Communities-The Island,43.64102,-79.40093,Entire home/apt,179,2,28,2016-02-15,0.51,1,0
4030756,Victorian House on East side of Downtown Toronto,314617,Ilya,,Moss Park,43.65583,-79.37001,Entire home/apt,299,1,75,2019-02-24,1.40,7,363
4030789,Rustic Apartment on East Side of Downtown Toronto,314617,Ilya,,Moss Park,43.6565,-79.37136,Entire home/apt,108,2,74,2018-12-09,1.37,7,363
4031210,Cozy home in desirable location,14363069,Sylvie,,Blake-Jones,43.67023,-79.34073,Entire home/apt,139,1,9,2018-04-15,0.34,1,0
4032579,Hilltop view,20907205,Maria,,Caledonia-Fairbank,43.68653,-79.45812,Private room,200,1,0,,,1,0
4032618,Amazing 1 Bedroom in Parkdale  - Parking Included.,4752716,Gilda,,South Parkdale,43.63755,-79.44216,Entire home/apt,98,2,150,2019-02-19,2.74,1,58
4033276,Luxurious large suite next to uTor,5993034,Azka,,University,43.65879,-79.40287,Private room,121,2,108,2018-12-31,2.10,1,73
4040460,Modern Bachelor Condo Downtown TO,17267972,Wei,,Cabbagetown-South St.James Town,43.66431,-79.3775,Entire home/apt,121,2,29,2019-01-30,0.63,2,35
4044023,Beautiful house on the Danforth,2099279,Nicole,,Danforth,43.6851,-79.32517,Entire home/apt,121,3,2,2016-08-28,0.06,1,94
4053197,Private Fairy Room in Luxury Condo,20744105,Christie,,Islington-City Centre West,43.63863,-79.53585,Private room,44,6,46,2019-02-09,0.86,3,13
4053382,For Phd's & Postdocs Only,7421135,Lada,,University,43.66673,-79.40144,Shared room,58,3,39,2018-08-05,0.72,9,0
4056621,Downtown/Entertainment District/20,5407081,Wayne,,Waterfront Communities-The Island,43.64494,-79.39303,Entire home/apt,113,2,202,2019-02-09,3.74,3,41
4057435,Room in beautiful downtown house,6744214,Lina,,University,43.65963,-79.40398,Private room,90,2,14,2018-09-10,0.26,1,362
4058460,Brand New Condo in Downtown Toronto,21048810,Alex,,South Parkdale,43.64018,-79.42177,Entire home/apt,94,2,223,2019-03-02,4.24,1,49
4065652,CN Tower & Convention Condo - FLY,4356799,T.,,Waterfront Communities-The Island,43.64345,-79.39285,Entire home/apt,99,1,74,2018-08-01,1.36,19,184
4066081,ONE  BEDROOM  CLOSE  TO MIDTOWN,20474972,Rosemary,,Briar Hill-Belgravia,43.70264,-79.44727,Private room,66,3,29,2018-05-28,0.59,2,0
4066890,3 Bedroom Family home in Midtown,21091465,Jenni,,Mount Pleasant West,43.70251,-79.39528,Entire home/apt,551,7,1,2014-12-31,0.02,1,311
4068786,Gorgeous Condo downtown Toronto,21101910,Salma,,Bay Street Corridor,43.6593,-79.38334,Entire home/apt,88,1,57,2018-09-02,1.48,1,62
4069551,Luxurious Apartment in Toronto,17896017,Shereen,,Stonegate-Queensway,43.62596,-79.50162,Entire home/apt,80,3,40,2018-10-19,0.74,1,365
4075437,Bright & Sunny Boho Room in the West End,21137018,Am,,Dovercourt-Wallace Emerson-Junction,43.66252,-79.44347,Private room,40,3,9,2019-01-06,1.34,1,8
4077253,"Bright, spacious apt with sauna",8666835,Emma,,Niagara,43.64272,-79.41487,Entire home/apt,99,20,2,2018-07-03,0.04,1,65
4080082,Gorgeous Corso Italia 1-bdm,20941455,Von,,Corso Italia-Davenport,43.67589,-79.44429,Entire home/apt,79,3,48,2019-02-01,1.03,2,64
4080793,2BD OASIS in Trendy West Toronto,21166557,Karri,,Stonegate-Queensway,43.64317,-79.49925,Entire home/apt,139,2,51,2017-08-19,1.08,1,285
4086038,Quaint Condo in Boutique Hotel,21194775,Tingting,,Church-Yonge Corridor,43.65463,-79.37791,Entire home/apt,380,1,125,2019-02-18,2.56,1,324
4090549,Private Flat in Trendy Area-,18324777,Lisa,,Palmerston-Little Italy,43.66046,-79.42592,Entire home/apt,100,1,115,2019-01-03,2.13,1,139
4091123,Spacious Brick and Beam Loft,6910683,Rich,,South Riverdale,43.65877,-79.35056,Entire home/apt,185,2,4,2015-08-02,0.07,1,0
4091155,Charming 1 Bedroom Town Home in Yorkville,20081033,Danny,,Annex,43.67166,-79.38827,Entire home/apt,108,2,54,2019-02-23,1.15,1,353
4091580,Modern one bed Unit!,3263958,Shad,,Waterfront Communities-The Island,43.6419,-79.40021,Entire home/apt,150,3,2,2015-11-11,0.04,1,0
4095915,Urban Oasis With Parking/ Hot Tub,21245388,James & Julie,,Greenwood-Coxwell,43.66403,-79.32145,Entire home/apt,401,5,13,2017-06-11,0.24,13,0
4100292,Cozy studio suite in artist's home,2645602,Myfanwy,,Wychwood,43.67222,-79.43332,Entire home/apt,72,2,84,2018-11-17,1.60,1,310
