id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
15499620,Fresh/Serene Apartment with a homely touch!,99552785,Elias,,Corso Italia-Davenport,43.67809085911622,-79.45652369721944,Entire home/apt,30,2,2,2016-10-27,0.10,1,0
15500719,"Relax on the Rooftop Deck of This Decadent, Roomy Apartment",8702985,Clarence,,Trinity-Bellwoods,43.651587126671515,-79.41441840555706,Entire home/apt,208,2,13,2018-06-21,0.63,10,3
15500870,Modern townhouse - perfect for business traveller!,99562378,Heather,,Niagara,43.63829378953922,-79.41238180998444,Entire home/apt,131,1,2,2018-02-22,0.22,1,32
15506559,"Stylish,Bright, Open 1 Bedroom - Parking Available",21245388,James & Julie,,Waterfront Communities-The Island,43.64052502541187,-79.3949455275681,Entire home/apt,148,3,70,2018-06-27,3.50,16,3
15509855,Great Location! Cozy Condo in the Heart of Toronto,99646711,Erin,,Kensington-Chinatown,43.65369688211051,-79.39055931157377,Entire home/apt,110,2,46,2018-06-30,2.27,1,1
15512181,Private 2 Bedroom Unit in Ossington,9666005,Eytan,,Trinity-Bellwoods,43.64663290770783,-79.42180612498774,Entire home/apt,99,20,9,2018-06-28,0.69,1,122
15512289,Private Bedroom 5 min. walk from Subway (37-2D),21737657,Darius,,Willowdale East,43.772872330927704,-79.41173912324653,Private room,35,1,38,2018-06-15,1.98,17,161
15512850,DownTown living condo,51741450,Lina,,Niagara,43.635221292853835,-79.40525049308661,Entire home/apt,170,1,191,2018-06-21,9.17,3,250
15512968,Cozy condo room in uptown with private bathroom,38273000,Christy,,Newtonbrook East,43.7805207472078,-79.41222149716381,Private room,37,2,8,2018-05-28,0.43,1,331
15513401,Toronto Downtown - Private Apartment!!!,43968015,Frida,,Kensington-Chinatown,43.65523452335819,-79.39085587343624,Entire home/apt,60,4,6,2018-06-28,1.29,4,257
15514187,Luxurious 2+1 Downtown Toronto,99694121,Kristy,,Waterfront Communities-The Island,43.64203089177481,-79.38262468071213,Entire home/apt,179,2,15,2018-06-24,0.72,3,356
15516898,Cozy one bedroom,18970399,Alberto,,Moss Park,43.6530503616827,-79.3687754465538,Entire home/apt,110,3,0,,,2,14
15517968,"Modern New Downtown Condo, Ent & Financial area",99735167,Frank,,Waterfront Communities-The Island,43.6438055329731,-79.39341813269577,Entire home/apt,172,2,42,2018-06-27,2.39,1,67
15521852,Private Huge Studio Room in Cabbagetown House,98240252,Emily,,Moss Park,43.66188565780865,-79.36924539739158,Private room,80,2,11,2018-07-03,0.77,3,149
15522751,Jupiter - Spacious Room. Downtown. Air Conditioner,4010627,Deniz,,North St.James Town,43.66954701276302,-79.37210602551417,Private room,45,1,141,2018-06-22,6.75,6,96
15522765,Newly Renovated Private Room + Spa Bathroom,7599053,Ali & Alvina,,South Riverdale,43.66050883693634,-79.33672295452753,Private room,60,2,86,2018-06-29,4.16,1,3
15523013,Charming 3-story Family Home,33001051,Melanie,,L'Amoreaux,43.801459629050825,-79.33450077591952,Entire home/apt,191,2,10,2018-06-20,0.82,1,161
15523149,Europa - Top Floor View in Downtown with AC,4010627,Deniz,,North St.James Town,43.66998675787462,-79.37404577212675,Private room,45,1,96,2018-06-24,4.58,6,110
15523207,Pluto - Explore DownTown! Air Conditioner!,4010627,Deniz,,North St.James Town,43.672256885220115,-79.37511637408075,Private room,45,1,105,2018-06-22,5.03,6,110
15523450,Welcoming & Happy 2 Bedroom bungalow home,73207318,Jonathan&Jenny,,Keelesdale-Eglinton West,43.6880930057725,-79.46731063078882,Entire home/apt,70,1,44,2017-09-12,2.24,4,18
15523683,Junction Triangle 2 Bedroom with Cat,1787912,Maggie & Nolan,,Dovercourt-Wallace Emerson-Junction,43.6653359741382,-79.4512910963034,Entire home/apt,89,3,3,2017-07-24,0.25,1,0
15528844,Cozy Bright 1 Bedroom Overlooking Fort York,99863904,Mel,,Waterfront Communities-The Island,43.64110179093609,-79.3974174424048,Entire home/apt,200,1,10,2018-06-24,0.49,1,18
15529620,"Super bright and renovated in 
TO",50321853,Leticia,,Brookhaven-Amesbury,43.69972686618136,-79.47941994261139,Entire home/apt,50,2,24,2018-07-02,1.17,1,232
15530165,Affordable room in a cozy house close to downtown,60343105,François & Tony,,South Riverdale,43.671135356142415,-79.32963520270053,Private room,39,3,32,2018-06-04,1.59,1,16
15531372,"Renovated, private one bedroom in Parkdale Toronto",99890373,Catherine,,South Parkdale,43.63577366973761,-79.4303698455002,Entire home/apt,60,2,83,2018-07-04,4.21,1,151
15531700,"Toronto Waterfront 1 Private Room, Prime Location",27166848,Jeremy,,Waterfront Communities-The Island,43.642453531050904,-79.38261141662788,Private room,50,10,0,,,2,0
15531995,"Large Bloor West suite, minutes to downtown",68491411,Lillian,,Lambton Baby Point,43.650511234516046,-79.48532412081046,Entire home/apt,70,1,66,2018-06-21,3.18,1,153
15532622,DESIGNER BEACH HOME Featured In National Magazine,99903576,Karyn,,The Beaches,43.66998774793293,-79.29946624245873,Entire home/apt,449,4,2,2018-01-02,0.18,1,210
15533980,A cozy bedroom (+ private bathroom) near the lake,53069911,Zaid & Sofia,,Niagara,43.6379027347026,-79.40467586840387,Private room,53,2,59,2017-12-29,2.88,1,0
15534448,"MIDTOWN COZY, QUIET & PRIVATE ROOM+PARKING",99918623,Rıza,,Briar Hill-Belgravia,43.6961851949186,-79.45618088484962,Private room,35,2,25,2018-06-03,1.21,2,264
15535312,5 minutes to subways! - #1 Cozy bedroom,99933032,Hang,,High Park-Swansea,43.645515532688975,-79.48238985683611,Private room,42,2,30,2018-05-25,1.83,3,67
15536428,Private Bedroom 5 Minutes from Subway Line (37-2C),21737657,Darius,,Willowdale East,43.772050598340236,-79.4123725640664,Private room,37,1,36,2018-06-07,1.85,17,124
15537054,Fully furnished room in the heart of downtown!,9429863,Russell,,Church-Yonge Corridor,43.662707714917325,-79.38260958550748,Private room,75,1,0,,,1,272
15537202,3 Bedrooms 2 Bath Downtown+Parking,31261277,Chui Yi,,Annex,43.67249257497426,-79.40728897261681,Entire home/apt,219,2,64,2018-06-17,3.12,2,305
15537509,Cozy affordable room at 25 min close to downtown,99957119,Horacio,,Corso Italia-Davenport,43.6825632856757,-79.44639476977478,Private room,30,7,0,,,1,0
15537518,Charming Cottage Living in the Heart of the City,57170337,Stefanie,,Casa Loma,43.67508988581562,-79.41355259611575,Entire home/apt,150,7,0,,,2,125
15537875,Spacious Room with private washroom in Downtown,4976043,Ping,,Kensington-Chinatown,43.655412786959985,-79.40307797816597,Private room,64,2,88,2018-06-29,4.39,3,27
15539975,For solo traveler,10064528,Hyun Young,,Willowdale East,43.77033516597985,-79.41306805141075,Private room,300,7,0,,,1,83
15541990,Private Room with Breakfast,58109938,Sergei  &  Larina,,Steeles,43.81633085949558,-79.33154261601486,Private room,34,1,7,2017-09-28,0.33,3,0
15543539,Bright and Stylish Yorkville Garden Sanctuary,100012809,Brynn,,Annex,43.676820718292234,-79.39002083217821,Entire home/apt,175,2,7,2017-10-16,0.40,1,0
15544990,Private room/bathroom in Toronto's downtown core,92246619,Scarlett,,Bay Street Corridor,43.6582659484819,-79.38355974235279,Private room,70,1,0,,,1,0
15545774,Main bedroom(for female only),94697158,Joey,,Willowdale East,43.76854730710442,-79.40279675378831,Private room,39,1,13,2018-01-22,0.63,4,0
15546177,Downtown Toronto Condo - Prime Location!,53085386,Mia,,Niagara,43.63555893988009,-79.40543865624421,Entire home/apt,115,1,55,2018-06-21,2.73,1,14
15549170,"QueenWest Home, Trinity Bellwoods Park Views",92641347,Melody,,Trinity-Bellwoods,43.64675757707888,-79.41566474111613,Private room,64,1,64,2018-06-28,3.24,1,198
15549284,Private room in my small and cozy apartment,142682,Sean,,Old East York,43.696244073553316,-79.32991379065527,Private room,50,1,156,2018-03-25,7.48,1,0
15550265,2 twin beds and air mattress,92641156,Saifudeen  ( Ali),,Briar Hill-Belgravia,43.7040646978473,-79.44092188045703,Private room,35,2,32,2018-06-10,2.38,2,186
15550880,"Studio aptm, separate entrance, clean and cozy",77663423,Jolanta,,Elms-Old Rexdale,43.71940885818642,-79.55238489874452,Entire home/apt,100,2,0,,,1,0
15559521,Luxury 3 B/R & @ 2 Bathroom,37799905,Lotus,,Mount Pleasant West,43.696679080323484,-79.39621918724758,Entire home/apt,300,7,0,,,1,224
15565578,《girl》nice room shared bathroom,49092095,Rachel,,Agincourt South-Malvern West,43.7936212517815,-79.28167964396324,Private room,35,1,40,2018-05-23,1.93,12,339
15565595,《monkey》Nice room private bathroom,49092095,Rachel,,Agincourt South-Malvern West,43.792338242509,-79.28380546818377,Private room,39,1,55,2018-06-13,2.68,12,339
15568866,Convenient and Clean Place to Stay 2!,77919672,Adelaida,,Bendale,43.76864082104451,-79.2620076246371,Private room,50,2,8,2018-07-01,0.49,2,356
15578907,Unobstructed Waterfront Luxury Suite with Sunset,71516792,Super Frances,,Mimico (includes Humber Bay Shores),43.62502100668969,-79.4795546669553,Entire home/apt,237,1,42,2018-06-25,2.82,1,339
15580869,Cozy Condo in King West Village,49410148,Geetha,,Waterfront Communities-The Island,43.641793644286814,-79.4008003197926,Entire home/apt,98,2,86,2018-06-19,4.15,3,126
15581261,NEW Spacious Modern Condo - Entertainment District,13247224,Jessica,,Waterfront Communities-The Island,43.6481652850025,-79.39229704647875,Entire home/apt,167,1,130,2018-02-23,6.23,2,0
15581479,Private Bedroom Close to NorthYork Subway,22747974,Akshay,,Willowdale East,43.765020049214456,-79.40989137305299,Private room,39,1,24,2018-07-03,1.66,1,64
15581975,Spacious cozy clean Queen Bed with private bath,100393231,Emily,,Steeles,43.8172081953038,-79.31704774319839,Private room,60,1,9,2018-05-05,0.62,4,339
15583544,Bright and clean Bedroom,100407603,Azy,,Lansing-Westgate,43.760165809707644,-79.41098678720803,Private room,80,3,8,2017-10-27,0.63,2,54
